dispatch_id,picker_name,order_id,warehouse_zone,items_picked,picking_errors,loading_bay,dispatch_time_minutes,status,error_type,bay_cost_per_hour,route_id
DSP-2246,Kiran Desai,ORD-10073,Z-F,28,0,Bay-5,28,In Progress,,243.34,RT-11
DSP-2247,Suresh Yadav,ORD-10314,Z-B,17,0,Bay-2,14,Completed,,340.61,RT-05
DSP-2248,Manoj Kumar,ORD-10015,Z-H,24,0,Bay-1,11,Pending,,329.6,RT-12
DSP-2249,Kiran Desai,ORD-10412,Z-G,13,0,Bay-2,18,Completed,,224.48,RT-09
DSP-2250,Ravi Shankar,ORD-10220,Z-E,16,0,Bay-3,50,Completed,,240.48,RT-02
DSP-2251,Pradeep Singh,ORD-10041,Z-F,15,0,Bay-5,41,Completed,,342.46,RT-10
DSP-2252,Rahul Verma,ORD-10349,Z-F,4,0,Bay-5,25,Completed,,253.9,RT-01
DSP-2253,Deepak Tiwari,ORD-10288,Z-F,28,0,Bay-2,14,In Progress,,299.28,RT-09
DSP-2254,Vijay Prasad,ORD-10499,Z-F,4,1,Bay-2,27,Completed,Wrong Quantity,456.57,RT-03
DSP-2255,Manoj Kumar,ORD-10259,Z-C,27,2,Bay-1,27,Completed,Incorrect Barcode Scan,455.29,RT-11
DSP-2256,Anil Sharma,ORD-10478,Z-E,4,0,Bay-2,26,Completed,,460.09,RT-12
DSP-2257,Vijay Prasad,ORD-10308,Z-C,20,1,Bay-4,29,Completed,Mislabeled Package,413.63,RT-01
DSP-2258,Pradeep Singh,ORD-10283,Z-B,11,0,Bay-2,15,Pending,,296.31,RT-09
DSP-2259,Rahul Verma,ORD-10183,Z-A,30,3,Bay-4,29,In Progress,Incorrect Barcode Scan,139.51,RT-05
DSP-2260,Suresh Yadav,ORD-10339,Z-F,30,0,Bay-5,59,Completed,,402.77,RT-10
DSP-2261,Vijay Prasad,ORD-10144,Z-F,5,0,Bay-2,17,Pending,,270.53,RT-02
DSP-2262,Kiran Desai,ORD-10042,Z-H,1,0,Bay-3,60,Completed,,255.52,RT-05
DSP-2263,Anil Sharma,ORD-10394,Z-A,17,1,Bay-2,10,Completed,Incorrect Barcode Scan,399.14,RT-11
DSP-2264,Naveen Gupta,ORD-10088,Z-F,24,0,Bay-1,9,Pending,,253.96,RT-11
DSP-2265,Naveen Gupta,ORD-10026,Z-G,24,0,Bay-2,24,Completed,,379.67,RT-09
DSP-2266,Suresh Yadav,ORD-10234,Z-C,29,0,Bay-3,29,In Progress,,298.11,RT-03
DSP-2267,Pradeep Singh,ORD-10313,Z-A,2,1,Bay-2,30,Completed,Damaged During Pick,101.9,RT-12
DSP-2268,Pradeep Singh,ORD-10416,Z-F,6,2,Bay-2,19,Pending,Mislabeled Package,117.9,RT-01
DSP-2269,Deepak Tiwari,ORD-10126,Z-E,29,1,Bay-6,26,In Progress,Wrong Zone Pick,223.9,RT-08
DSP-2270,Ravi Shankar,ORD-10467,Z-E,14,0,Bay-4,21,Completed,,437.05,RT-04
DSP-2271,Saurabh Jain,ORD-10129,Z-A,21,0,Bay-1,30,In Progress,,151.56,RT-05
DSP-2272,Vijay Prasad,ORD-10036,Z-B,4,0,Bay-4,10,Completed,,230.95,RT-11
DSP-2273,Anil Sharma,ORD-10489,Z-G,10,0,Bay-3,41,Completed,,147.76,RT-09
DSP-2274,Suresh Yadav,ORD-10284,Z-H,7,0,Bay-1,23,Completed,,144.56,RT-12
DSP-2275,Kiran Desai,ORD-10094,Z-B,25,0,Bay-1,15,Completed,,248.36,RT-12
DSP-2276,Manoj Kumar,ORD-10226,Z-A,22,3,Bay-2,14,In Progress,Wrong Item Picked,327.52,RT-09
DSP-2277,Ramesh Patil,ORD-10440,Z-E,30,0,Bay-4,14,Pending,,122.57,RT-11
DSP-2278,Manoj Kumar,ORD-10484,Z-E,17,0,Bay-2,28,Completed,,363.2,RT-04
DSP-2279,Rahul Verma,ORD-10446,Z-H,3,2,Bay-5,58,Completed,Wrong Quantity,157.35,RT-05
DSP-2280,Rahul Verma,ORD-10057,Z-B,14,1,Bay-1,27,In Progress,Wrong Zone Pick,473.12,RT-02
DSP-2281,Rahul Verma,ORD-10073,Z-B,22,0,Bay-4,8,Completed,,425.48,RT-11
DSP-2282,Suresh Yadav,ORD-10438,Z-D,25,0,Bay-5,59,Completed,,359.55,RT-04
DSP-2283,Deepak Tiwari,ORD-10330,Z-G,10,0,Bay-4,22,Pending,,195.07,RT-05
DSP-2284,Deepak Tiwari,ORD-10128,Z-F,21,0,Bay-2,22,Completed,,244.05,RT-10
DSP-2285,Anil Sharma,ORD-10326,Z-C,13,2,Bay-2,19,In Progress,Mislabeled Package,422.18,RT-11
DSP-2286,Rahul Verma,ORD-10235,Z-G,23,2,Bay-2,20,Completed,Wrong Zone Pick,241.18,RT-09
DSP-2287,Kiran Desai,ORD-10452,Z-G,15,0,Bay-4,20,Completed,,235.12,RT-02
DSP-2288,Kiran Desai,ORD-10068,Z-D,8,0,Bay-2,26,Completed,,449.44,RT-08
DSP-2289,Deepak Tiwari,ORD-10186,Z-H,18,1,Bay-4,19,In Progress,Wrong Quantity,257.13,RT-01
DSP-2290,Suresh Yadav,ORD-10277,Z-H,10,1,Bay-5,51,Completed,Wrong Quantity,235.07,RT-12
DSP-2291,Pradeep Singh,ORD-10196,Z-G,6,1,Bay-1,30,Completed,Incorrect Barcode Scan,366.8,RT-10
DSP-2292,Ravi Shankar,ORD-10348,Z-C,21,0,Bay-2,12,Completed,,287.43,RT-05
DSP-2293,Manoj Kumar,ORD-10390,Z-H,11,1,Bay-5,58,In Progress,Wrong Item Picked,370.48,RT-11
DSP-2294,Suresh Yadav,ORD-10010,Z-A,30,1,Bay-1,18,Pending,Damaged During Pick,472.63,RT-01
DSP-2295,Vijay Prasad,ORD-10380,Z-C,7,0,Bay-1,19,In Progress,,226.2,RT-07
DSP-2296,Saurabh Jain,ORD-10173,Z-C,10,0,Bay-5,35,Pending,,160.81,RT-05
DSP-2297,Suresh Yadav,ORD-10272,Z-G,6,0,Bay-6,23,In Progress,,212.49,RT-07
DSP-2298,Suresh Yadav,ORD-10339,Z-C,30,0,Bay-1,12,Pending,,289.13,RT-10
DSP-2299,Manoj Kumar,ORD-10392,Z-A,19,1,Bay-3,53,Completed,Wrong Quantity,278.93,RT-03
